	SRR5650119	SRR3131760	SRR3131720	SRR5650133	SRR3131748	SRR3131740	SRR5650117	SRR5650120	SRR5650148	SRR5650158	SRR5650110	SRR3131708	SRR3131736	SRR5650153	SRR3131722	SRR5650150	SRR5650136	SRR5650143	SRR3131752	SRR5650127	SRR5650144	SRR3131750	SRR5650130	SRR5650111	SRR3131696	SRR3131762	SRR3131786	SRR5650132	SRR5650135	SRR3131756	SRR5650126	SRR3131712	SRR5650137	SRR3131702	SRR5650113	SRR3131744	SRR3131770	SRR5650121	SRR3131732	SRR3131768	SRR3131788	SRR3131694	SRR5650116	SRR3131728	SRR5650142	SRR3131698	SRR5650157	SRR3131772	SRR3131782	SRR5650118	SRR5650151	SRR5650141	SRR5650146	SRR5650128	SRR5650139	SRR5650123	SRR5650145	SRR3131730	SRR5650155	SRR5650129	SRR3131754	SRR3131700	SRR3131742	SRR3131812	SRR3131758	SRR3131714	SRR3131764	SRR5650147	SRR5650138	SRR5650112	SRR3131776	SRR5650115	SRR5650114	SRR3131774	SRR3131716	SRR3131790	SRR5650131	SRR5650152	SRR5650122	SRR3131780	SRR3131706	SRR5650154	SRR5650125	SRR3131718	SRR5650124	SRR3131710	SRR5650159	SRR3131738	SRR3131692	SRR3131704	SRR3131724	SRR3131766	SRR5650134	SRR3131726	SRR3131734	SRR3131778	SRR3131784	SRR5650156	SRR3131746	SRR5650140	SRR5650149
adult_c_000010434937_1	120	0	0	174	0	0	576	84	38	74	426	0	0	4	0	62	14	268	0	356	64	0	84	114	0	0	0	284	18	0	88	0	22	0	70	0	0	14	0	0	0	0	4	0	54	0	64	0	0	18	14	56	94	24	38	210	38	0	18	1022	0	0	0	0	0	0	0	106	26	4	0	24	6	0	0	0	52	14	546	0	0	4	16	0	142	0	98	0	0	0	0	0	34	0	0	0	0	216	0	88	140
adult_c_000010434937_2	878	0	0	10	0	0	998	3652	2	214	164	0	0	2	0	0	2	1208	0	734	78	0	154	8	0	0	0	6	2	0	0	0	94	0	10	0	0	1372	0	0	0	0	22	0	16	0	288	0	0	4	0	162	108	0	256	2092	38	0	0	2038	0	0	0	0	0	0	0	0	64	6	0	0	22	0	0	0	126	0	1228	0	0	0	4	0	278	0	360	0	0	0	0	0	44	0	0	0	0	4	0	230	0
adult_c_000010435350_1	1800	0	0	498	0	0	888	2134	748	304	4426	0	0	628	0	1292	1370	2712	0	2664	1018	0	944	454	0	226	0	568	278	0	464	0	1346	0	452	0	0	916	0	0	194	0	150	0	872	0	170	0	0	876	582	374	142	838	864	220	1210	0	324	3224	0	0	0	0	0	0	0	1302	648	92	0	46	170	0	0	0	566	626	760	0	0	230	1750	0	1172	112	298	0	0	0	0	0	202	0	4	0	0	928	0	880	470
adult_c_000010612878_1	12	0	0	26	0	0	7722	8	1164	40664	12	0	0	968	0	14	3018	46	0	3412	5786	0	3926	4	0	0	0	20	878	0	0	0	36	0	0	0	0	0	0	0	12	0	816	0	8834	0	14760	0	0	4	1172	26560	13444	5428	4770	10	11372	0	4	13408	0	0	0	0	0	0	0	10	2	6	0	0	2	0	0	0	1376	1848	1944	0	0	1496	10	0	10	4	22636	0	0	0	0	0	6	0	0	0	0	18	0	5882	4
adult_c_000010612878_2	8	0	0	66	0	0	4016	0	436	21000	0	0	0	390	0	2	1094	14	0	1710	184	0	1932	0	0	0	0	110	424	0	2	0	2	0	18	0	0	0	0	0	0	0	406	0	334	0	7990	0	0	12	366	986	520	1440	182	6	492	0	2	6170	0	0	0	0	0	0	0	2	4	14	0	0	0	0	0	0	596	864	910	0	0	592	4	0	4	0	11022	0	0	0	0	0	24	0	0	0	0	4	0	184	0
adult_c_000010612878_3	0	0	0	4	0	0	748	0	94	2732	0	0	0	90	0	2	274	0	0	316	386	0	318	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	546	0	1032	0	0	2	102	1804	794	418	308	0	692	0	0	1086	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	132	112	168	0	0	112	4	0	0	0	1506	0	0	0	0	0	0	0	0	0	0	0	0	344	0
adult_c_000010612882_1	2	0	0	2	0	0	4	0	388	1392	166	0	0	36	0	2	86	270	0	0	98	0	6	8	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	2160	0	0	0	52	64	26	60	72	2	100	0	0	8	0	0	0	0	0	0	0	0	2	0	0	1092	228	0	0	0	0	46	4	0	0	8	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	4	0	102	0
adult_c_000010612882_2	0	0	0	0	0	0	0	0	86	454	14	0	0	8	0	0	24	16	0	2	24	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	722	0	0	2	10	24	16	16	36	0	28	0	0	2	0	0	0	0	0	0	0	0	0	0	0	394	86	0	0	0	0	28	0	0	0	2	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	2	0	16	0
adult_c_000010612882_3	0	0	0	2	0	0	0	0	72	250	30	0	0	6	0	0	22	24	0	0	22	0	4	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	370	0	0	2	4	16	8	14	38	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	12	0	0	0	0	22	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	10	0
adult_c_000010612941_1	14	0	0	0	0	0	4	12	2	1410	0	0	0	2	0	2	4	4	0	0	0	0	2	0	0	0	0	6	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1814	0	0	2	2	0	4	12	0	2	0	0	6	6	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	2	0	1736	0	0	0	0	0	0	0	0	0	0	6	0	6	2
